he0,3
he1,17
he2,17
he3,9
he4,5
he5,2
he6,2
he7,5
he8,3
he9,3
he10,2
he11,2
he12,12
he13,20
he14,17
he15,12
he16,6
he17,2
he18,4
he19,10
he20,2
he21,5
he22,4
he23,2
he24,2
he25,3
he26,2
he27,4
he28,11
he29,14
he30,10
he31,2
he32,9
he33,3
he34,7
he35,5
he36,2
he37,6
he38,3
he39,5
he40,4
he41,2
he42,17
he43,16
he44,15
he45,2
he46,2
he47,3
he48,4
he49,3
he50,3
he51,2
he52,3
he53,2
he54,2
he55,11
he56,18
he57,22
he58,7
he59,6
he60,2
he61,4
he62,13
he63,2
he64,7
he65,4
he66,2
he67,4
he68,3
he69,3
he70,3
he71,3
he72,12
he73,11
he74,13
he75,10
he76,7
he77,4
he78,6
he79,5
he80,2
he81,2
he82,2
he83,19
he84,8
he85,9
he86,3
he87,5
he88,3
he89,6
he90,18
he91,15
he92,12
he93,5
he94,7
he95,2
he96,2
he97,2
he98,2
he99,3
he100,4
he101,9
he102,25
he103,15
he104,6
he105,8
he106,2
he107,11
he108,2
he109,3
he110,2
he111,2
he112,3
he113,6
he114,24
he115,15
he116,9
he117,2
he118,2
he119,6
he120,9
he121,16
he122,3
he123,4
he124,3
he125,4
he126,9
he127,18
he128,19
he129,4
he130,5
he131,3
he132,12
he133,2
he134,2
he135,4
he136,2
he137,2
he138,19
he139,13
he140,4
he141,8
he142,2
he143,7
he144,3
he145,5
he146,2
he147,4
he148,2
he149,7
he150,17
he151,15
he152,11
he153,4
he154,14
he155,5
he156,2
he157,2
he158,11
he159,22
he160,11
he161,3
he162,3
he163,5
he164,2
he165,7
he166,2
he167,3
he168,2
he169,2
he170,2
he171,27
he172,13
he173,8
he174,2
he175,9
he176,2
he177,2
he178,7
he179,15
he180,14
he181,17
he182,6
he183,2
he184,3
he185,5
he186,3
he187,5
he188,2
he189,4
he190,2
he191,2
he192,8
he193,16
he194,15
he195,6
he196,4
he197,3
he198,9
he199,2
he200,3
he201,3
he202,2
he203,2
he204,3
he205,2
he206,3
he207,9
he208,15
he209,9
he210,2
he211,8
he212,4
he213,7
he214,5
he215,2
he216,6
he217,3
he218,5
he219,3
he220,24
he221,13
he222,14
he223,2
he224,4
he225,5
he226,3
he227,5
he228,8
he229,18
he230,12
he231,10
he232,6
he233,6
he234,3
he235,4
he236,6
he237,23
he238,14
he239,6
he240,9
he241,2
he242,10
he243,2
he244,2
he245,3
he246,4
he247,11
he248,12
he249,2
he250,3
he251,4
he252,8
he253,5
he254,3
he255,2
he256,5
he257,21
he258,4
he259,7
he260,2
he261,5
he262,9
he263,2
he264,7
he265,11
he266,11
he267,4
he268,5
he269,2
he270,11
he271,2
he272,2
he273,6
he274,12
he275,16
he276,2
he277,3
he278,6
he279,2
he280,3
he281,6
he282,2
he283,18
he284,16
he285,5
he286,8
he287,3
he288,2
he289,8
he290,4
he291,3
he292,2
he293,2
he294,6
he295,12
he296,9
he297,8
he298,4
he299,2
he300,8
he301,2
he302,5
he303,14
he304,10
he305,13
he306,5
he307,3
he308,3
he309,2
he310,2
he311,5
he312,2
he313,2
he314,8
he315,17
he316,15
he317,6
he318,3
he319,2
he320,5
he321,2
he322,8
he323,2
he324,2
he325,2
he326,3
he327,2
he328,3
he329,11
he330,12
he331,7
he332,2
he333,5
he334,2
he335,9
he336,3
he337,2
he338,6
he339,4
he340,4
he341,2
he342,3
he343,3
he344,21
he345,14
he346,13
he347,2
he348,5
he349,5
he350,5
he351,3
he352,3
he353,5
he354,18
he355,11
he356,14
he357,4
he358,5
he359,2
he360,2
he361,5
he362,3
he363,6
he364,14
he365,15
he366,6
he367,3
he368,7
he369,9
he370,2
he371,2
he372,4
he373,19
he374,10
he375,5
he376,2
he377,4
he378,4
he379,8
he380,3
he381,2
he382,2
he383,2
he384,3
he385,5
he386,15
he387,10
he388,5
he389,3
he390,4
he391,13
he392,3
he393,2
he394,3
he395,4
he396,19
he397,6
he398,5
he399,3
he400,3
he401,4
he402,10
he403,11
he404,11
he405,2
he406,4
he407,3
he408,6
he409,2
he410,3
he411,2
he412,2
he413,9
he414,15
he415,3
he416,3
he417,9
he418,2
he419,3
he420,4
he421,2
he422,13
he423,13
he424,4
he425,7
he426,3
he427,5
he428,3
he429,2
he430,2
he431,8
he432,17
he433,12
he434,8
he435,5
he436,5
he437,8
he438,3
he439,2
he440,3
he441,2
he442,3
he443,2
he444,2
he445,10
he446,12
he447,8
he448,2
he449,5
he450,3
he451,9
he452,5
he453,2
he454,8
he455,5
he456,5
he457,3
he458,2
he459,15
he460,12
he461,9
he462,5
he463,3
he464,4
he465,2
he466,3
he467,16
he468,9
he469,10
he470,4
he471,7
he472,14
he473,14
he474,12
he475,5
he476,7
he477,4
he478,2
he479,4
he480,4
he481,13
he482,7
he483,4
he484,2
he485,9
he486,2
he487,8
he488,2
he489,3
he490,8
he491,19
he492,12
he493,6
he494,2
he495,2
he496,3
he497,4
he498,6
he499,2
he500,2
he501,3
he502,17
he503,16
he504,7
he505,2
he506,4
he507,3
he508,13
he509,3
he510,2
he511,6
he512,23
he513,12
he514,6
he515,4
he516,6
he517,9
he518,2
he519,2
he520,3
he521,11
he522,13
he523,18
he524,5
he525,5
he526,3
he527,9
he528,3
he529,7
he530,2
he531,3
he532,17
he533,10
he534,6
he535,8
he536,2
he537,7
he538,4
he539,5
he540,2
he541,2
he542,6
he543,16
he544,15
he545,5
he546,2
he547,10
he548,17
he549,12
he550,4
he551,3
he552,4
he553,7
he554,2
he555,2
he556,2
he557,2
he558,3
he559,8
he560,8
he561,11
he562,2
he563,9
he564,6
he565,2
he566,2
he567,2
he568,3
he569,3
he570,3
he571,7
he572,9
he573,7
he574,4
he575,5
he576,3
he577,2
he578,2
he579,2
he580,3
he581,3
he582,17
he583,9
he584,7
he585,7
he586,3
he587,4
he588,3
he589,3
he590,16
he591,11
he592,11
he593,3
he594,5
he595,5
he596,14
he597,6
he598,8
he599,4
he600,7
he601,3
he602,3
he603,4
he604,7
he605,8
he606,14
he607,8
he608,2
he609,3
he610,7
he611,2
he612,12
he613,3
he614,7
he615,8
he616,7
he617,2
he618,2
he619,2
he620,5
he621,16
he622,11
he623,4
he624,4
he625,3
he626,2
he627,2
he628,3
he629,2
he630,10
he631,13
he632,5
he633,2
he634,3
he635,2
he636,10
he637,3
he638,5
he639,18
he640,5
he641,5
he642,2
he643,2
he644,3
he645,5
he646,9
he647,3
he648,6
he649,14
he650,12
he651,3
he652,4
he653,3
he654,2
he655,8
he656,2
he657,2
he658,7
he659,12
he660,14
he661,7
he662,5
he663,2
he664,4
he665,6
he666,3
he667,2
he668,2
he669,2
he670,2
he671,2
he672,2
he673,7
he674,9
he675,5
he676,2
he677,2
he678,8
he679,6
he680,2
he681,3
he682,2
he683,3
he684,4
he685,9
he686,8
he687,7
he688,11
he689,3
he690,3
he691,5
he692,2
he693,2
he694,2
he695,2
he696,15
he697,9
he698,8
he699,2
he700,5
he701,4
he702,3
he703,12
he704,6
he705,9
he706,2
he707,2
he708,5
he709,5
he710,17
he711,6
he712,12
he713,4
he714,6
he715,2
he716,2
he717,2
he718,4
he719,8
he720,13
he721,9
he722,8
he723,2
he724,3
he725,2
he726,8
he727,2
he728,5
he729,14
he730,14
he731,8
he732,6
he733,6
he734,2
he735,2
he736,2
he737,3
he738,14
he739,13
he740,2
he741,3
he742,2
he743,2
he744,4
he745,7
he746,2
he747,2
he748,4
he749,2
he750,6
he751,18
he752,10
he753,6
he754,4
he755,6
he756,12
he757,2
he758,3
he759,21
he760,11
he761,5
he762,3
he763,2
he764,8
he765,2
he766,11
he767,10
he768,11
he769,2
he770,3
he771,2
he772,7
he773,2
he774,2
he775,6
he776,15
he777,16
he778,5
he779,4
he780,3
he781,8
he782,2
he783,4
he784,3
he785,2
he786,2
he787,3
he788,2
he789,2
he790,10
he791,10
he792,10
he793,2
he794,2
he795,4
he796,7
he797,3
he798,2
he799,6
he800,4
he801,5
he802,3
he803,4
he804,8
he805,12
he806,10
he807,9
he808,4
he809,3
he810,3
he811,3
he812,2
he813,23
he814,11
he815,13
he816,2
he817,5
he818,4
he819,8
he820,18
he821,14
he822,8
he823,6
he824,6
he825,3
he826,2
he827,2
he828,4
he829,8
he830,14
he831,10
he832,10
he833,2
he834,6
he835,7
he836,4
he837,13
he838,8
he839,5
he840,4
he841,3
he842,7
he843,2
he844,2
he845,2
he846,3
he847,9
he848,7
he849,2
he850,3
he851,2
he852,2
he853,7
he854,2
he855,3
he856,3
he857,16
he858,6
he859,5
he860,3
he861,4
he862,7
he863,10
he864,2
he865,3
he866,2
he867,20
he868,10
he869,5
he870,4
he871,3
he872,8
he873,2
he874,11
he875,12
he876,19
he877,4
he878,3
he879,2
he880,7
he881,2
he882,2
he883,3
he884,11
he885,13
he886,4
he887,8
he888,2
he889,2
he890,7
he891,4
he892,5
he893,4
he894,2
he895,5
he896,11
he897,10
he898,10
he899,2
he900,2
he901,12
he902,2
he903,3
he904,2
he905,2
he906,10
he907,20
he908,8
he909,3
he910,3
he911,3
he912,5
he913,2
he914,28
he915,15
he916,7
he917,6
he918,8
he919,3
he920,2
he921,2
he922,39
he923,107
he924,99
he925,53
he926,16
he927,2
he928,30
he929,22
he930,4
he931,60
he932,7
he933,10
he934,19
he935,4
he936,16
he937,2
he938,6
he939,8
he940,6
he941,21
he942,3
he943,4
he944,2
he945,7
he946,4
he947,6
he948,2
he949,4
he950,4
he951,3
he952,4
he953,5
he954,23
he955,15
he956,5
he957,4
he958,3
he959,3
he960,12
he961,6
he962,3
he963,3
he964,7
he965,17
he966,8
he967,2
he968,3
he969,3
he970,12
he971,2
he972,5
he973,15
he974,13
he975,5
he976,5
he977,3
he978,9
he979,2
he980,13
he981,19
he982,2
he983,4
he984,8
he985,2
he986,6
he987,3
he988,5
he989,6
he990,5
he991,3
he992,2
he993,3
he994,2
he995,2
he996,3
he997,12
he998,9
he999,8
he1000,5
he1001,4
he1002,4
he1003,5
he1004,3
he1005,5
he1006,15
he1007,6
he1008,6
he1009,2
he1010,3
he1011,3
he1012,6
he1013,9
he1014,2
he1015,2
he1016,4
he1017,12
he1018,14
he1019,9
he1020,2
he1021,3
he1022,5
he1023,10
he1024,2
he1025,9
he1026,3
he1027,3
he1028,2
he1029,3
he1030,2
he1031,7
